Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
0,1664297813346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1664297813637,30.83,902.16,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1664297813967,30.84,902.17,0.48,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1664297814385,30.83,902.17,0.48,0.58,0.0,0.0,1.34,0.0,9.37,9.47,0.0,0.19,-0.06,0.0,0.19,-0.06
4,1664297814641,30.82,902.14,0.76,0.76,0.0,0.0,1.34,0.03,9.36,9.46,0.0,0.19,0.0,0.0,0.19,0.0
5,1664297814902,30.83,902.15,0.67,0.76,0.0,0.0,1.35,0.02,9.34,9.44,0.0,-0.06,-0.13,0.0,-0.06,-0.13
6,1664297815153,30.83,902.18,0.39,0.76,0.0,0.0,1.34,0.0,9.36,9.46,0.0,0.0,0.06,0.0,0.0,0.06
7,1664297815429,30.83,902.17,0.48,0.76,0.0,0.0,1.33,0.0,9.36,9.45,0.0,0.06,-0.06,-0.06,-0.13,0.0
8,1664297815687,30.83,902.18,0.39,0.76,0.0,0.0,1.34,0.03,9.34,9.44,-0.06,-0.13,0.0,-0.06,-0.13,0.0
9,1664297815950,30.82,902.17,0.48,0.76,0.0,0.0,1.34,0.01,9.36,9.46,0.06,0.06,-0.06,0.06,0.06,-0.06
10,1664297816214,30.82,902.16,0.58,0.76,0.0,0.0,1.36,0.0,9.34,9.44,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
11,1664297816473,30.82,902.18,0.39,0.76,0.0,0.0,1.35,0.03,9.36,9.46,0.0,0.06,0.13,0.0,0.06,0.13
12,1664297816761,30.82,902.16,0.58,0.76,0.0,0.0,1.35,-0.01,9.39,9.49,-0.06,0.13,0.06,-0.06,0.13,0.06
13,1664297817023,30.82,902.16,0.58,0.76,0.0,0.0,1.33,0.0,9.36,9.45,-0.06,0.25,0.0,-0.06,0.25,0.0
14,1664297817282,30.82,902.14,0.76,0.76,0.0,0.0,1.36,0.01,9.36,9.46,0.19,-0.13,0.0,0.19,-0.13,0.0
15,1664297817548,30.82,902.17,0.48,0.76,0.0,0.0,1.34,0.01,9.34,9.44,-0.06,-0.13,-0.06,-0.06,-0.13,-0.06
16,1664297817811,30.82,902.16,0.58,0.76,0.0,0.0,1.35,0.01,9.33,9.43,0.13,-0.13,0.06,-0.06,0.13,0.0
17,1664297818096,30.82,902.18,0.39,0.76,0.0,0.0,1.35,0.0,9.37,9.47,-0.06,0.0,0.13,0.0,0.13,-0.06
18,1664297818357,30.82,902.15,0.67,0.76,0.0,0.0,1.35,0.01,9.33,9.43,0.0,-0.19,0.06,0.0,-0.19,0.06
19,1664297818616,30.82,902.16,0.58,0.76,0.0,0.0,1.36,0.01,9.35,9.45,0.0,-0.13,0.13,0.0,-0.13,0.13
20,1664297818877,30.82,902.16,0.58,0.76,0.0,0.0,1.35,0.02,9.38,9.48,0.0,-0.19,0.0,0.0,-0.19,0.0
21,1664297819135,30.82,902.17,0.48,0.76,0.0,0.0,1.35,0.0,9.35,9.45,0.0,0.06,-0.06,0.0,0.06,-0.06
22,1664297819410,30.82,902.16,0.58,0.76,0.0,0.0,1.34,0.0,9.37,9.47,0.06,0.13,-0.06,0.06,0.13,-0.06
23,1664297819671,30.81,902.15,0.67,0.76,0.0,0.0,1.34,0.0,9.36,9.46,0.06,0.06,-0.06,0.06,0.06,-0.06
24,1664297819935,30.82,902.16,0.58,0.76,0.0,0.0,1.35,0.01,9.36,9.46,-0.06,0.06,-0.13,-0.06,0.06,-0.13
25,1664297820203,30.82,902.17,0.48,0.76,0.0,0.0,1.35,0.0,9.34,9.44,0.0,-0.06,-0.19,0.0,-0.06,-0.19
26,1664297820468,30.82,902.15,0.67,0.76,0.0,0.0,1.35,0.0,9.33,9.43,-0.06,-0.06,-0.06,0.06,-0.06,-0.13
27,1664297820742,30.82,902.17,0.48,0.76,0.0,0.0,1.35,0.0,9.36,9.46,0.06,0.06,-0.13,0.06,0.06,-0.13
28,1664297821011,30.82,902.18,0.39,0.76,0.0,0.0,1.35,0.0,9.35,9.45,0.06,0.06,0.13,0.06,0.06,0.13
29,1664297821271,30.82,902.17,0.48,0.76,0.0,0.0,1.34,0.03,9.36,9.46,0.06,0.0,0.19,0.06,0.19,0.19
30,1664297821527,30.82,902.16,0.58,0.76,0.0,0.0,1.33,0.0,9.36,9.45,0.0,0.19,0.06,0.0,0.19,0.06
31,1664297821781,30.82,902.17,0.48,0.76,0.0,0.0,1.35,0.0,9.36,9.46,0.13,-0.13,0.06,0.0,-0.06,0.0
32,1664297822060,30.82,902.16,0.58,0.76,0.0,0.0,1.35,0.03,9.37,9.47,-0.06,0.06,0.06,0.0,-0.06,0.0
33,1664297822333,30.82,902.15,0.67,0.76,0.0,0.0,1.34,0.01,9.34,9.44,-0.06,0.19,-0.06,-0.06,0.19,-0.06
