Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
0;	0;	1983;	1983;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
1;	1983;	2209;	226;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
2;	2209;	2337;	128;	0.14;	-0.97;	9.42;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
3;	2337;	2627;	290;	0.14;	-0.94;	9.42;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
4;	2627;	2759;	132;	0.14;	-0.95;	9.42;	0.06;	0.13;	0.00;	0.06;	-0.06;	-0.06
5;	2759;	2889;	130;	0.14;	-0.97;	9.43;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
6;	2889;	3056;	167;	0.13;	-0.95;	9.44;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
7;	3056;	3192;	136;	0.15;	-0.97;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	0.13
8;	3192;	3322;	130;	0.15;	-0.96;	9.44;	-0.06;	0.06;	0.06;	0.13;	-0.06;	0.13
9;	3322;	3452;	130;	0.16;	-0.95;	9.44;	0.06;	0.06;	0.06;	0.06;	0.06;	0.06
10;	3452;	3582;	130;	0.13;	-0.95;	9.42;	0.00;	-0.06;	0.00;	0.00;	0.06;	-0.13
11;	3582;	3712;	130;	0.16;	-0.95;	9.44;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
12;	3712;	3843;	131;	0.14;	-0.95;	9.39;	-0.13;	0.13;	0.00;	-0.13;	0.06;	0.06
13;	3843;	3973;	130;	0.12;	-0.96;	9.42;	0.00;	0.13;	-0.06;	0.00;	0.13;	-0.06
14;	3973;	4112;	139;	0.15;	-0.96;	9.43;	0.13;	-0.06;	0.00;	0.13;	-0.06;	0.00
15;	4112;	4243;	131;	0.14;	-0.95;	9.46;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
16;	4243;	4374;	131;	0.15;	-0.95;	9.46;	0.06;	-0.13;	0.00;	0.06;	-0.13;	0.00
17;	4374;	4516;	142;	0.15;	-0.94;	9.46;	0.00;	0.06;	-0.06;	0.00;	0.00;	0.06
18;	4516;	4646;	130;	0.13;	-0.96;	9.43;	0.06;	0.25;	0.06;	-0.06;	-0.06;	-0.06
19;	4646;	4776;	130;	0.16;	-0.96;	9.46;	0.06;	-0.13;	-0.06;	0.06;	-0.13;	-0.06
20;	4776;	4914;	138;	0.13;	-0.94;	9.44;	0.00;	0.06;	-0.19;	0.00;	0.06;	-0.19
21;	4914;	5044;	130;	0.14;	-0.95;	9.44;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
22;	5044;	5173;	129;	0.13;	-0.97;	9.45;	0.13;	0.06;	-0.06;	0.13;	0.06;	-0.06
23;	5173;	5317;	144;	0.13;	-0.97;	9.45;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
24;	5317;	5448;	131;	0.13;	-0.96;	9.42;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
25;	5448;	5579;	131;	0.15;	-0.97;	9.42;	0.19;	-0.06;	0.13;	0.19;	-0.13;	0.06
26;	5579;	5709;	130;	0.13;	-0.95;	9.44;	0.00;	-0.19;	0.00;	0.00;	-0.19;	0.00
27;	5709;	5846;	137;	0.15;	-0.96;	9.43;	0.06;	0.06;	-0.06;	0.06;	0.06;	-0.06
28;	5846;	5974;	128;	0.14;	-0.96;	9.45;	0.13;	0.00;	-0.06;	0.13;	0.00;	-0.06
29;	5974;	6102;	128;	0.12;	-0.95;	9.44;	0.06;	-0.25;	0.13;	0.06;	-0.19;	0.00
30;	6102;	6232;	130;	0.14;	-0.95;	9.42;	-0.69;	-0.50;	0.13;	-0.88;	-0.56;	0.19
31;	6232;	6362;	130;	0.11;	-1.02;	9.44;	-0.25;	-0.44;	0.06;	-0.25;	-0.44;	0.06
32;	6362;	6492;	130;	0.17;	-0.97;	9.42;	0.06;	-0.44;	0.00;	0.06;	-0.44;	0.00
33;	6492;	6623;	131;	0.17;	-0.96;	9.43;	-0.06;	0.00;	0.06;	-0.13;	-0.06;	0.00
34;	6623;	6773;	150;	0.15;	-0.89;	9.46;	2.19;	-0.56;	0.31;	2.19;	-0.56;	0.31
35;	6773;	6901;	128;	0.16;	-0.98;	9.44;	0.37;	0.06;	0.00;	0.37;	0.06;	0.00
36;	6901;	7030;	129;	0.17;	-1.00;	9.45;	0.25;	0.06;	0.00;	0.25;	0.06;	0.00
37;	7030;	7158;	128;	0.17;	-0.98;	9.43;	0.13;	0.19;	-0.06;	0.13;	0.19;	-0.06
38;	7158;	7286;	128;	0.18;	-0.99;	9.43;	0.13;	0.00;	-0.06;	0.19;	0.25;	0.00
39;	7286;	7416;	130;	0.18;	-0.99;	9.44;	0.31;	0.19;	0.06;	0.31;	0.19;	0.06
40;	7416;	7571;	155;	0.20;	-1.02;	9.48;	0.06;	-0.19;	0.06;	0.06;	-0.19;	0.06
41;	7571;	7698;	127;	0.19;	-1.01;	9.42;	-0.06;	-0.06;	0.06;	-0.06;	-0.19;	0.00
42;	7698;	7827;	129;	0.20;	-0.99;	9.44;	-0.06;	0.00;	0.06;	0.06;	-0.13;	0.13
43;	7827;	7957;	130;	0.17;	-1.00;	9.44;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
44;	7957;	8088;	131;	0.20;	-1.00;	9.42;	-0.13;	-0.06;	0.06;	-0.06;	0.06;	0.00
45;	8088;	8218;	130;	0.19;	-0.98;	9.43;	0.00;	0.13;	-0.13;	0.00;	0.13;	-0.13
46;	8218;	8347;	129;	0.16;	-0.99;	9.43;	-0.06;	0.25;	-0.13;	-0.06;	0.25;	-0.13
47;	8347;	8486;	139;	0.20;	-1.00;	9.43;	0.13;	-0.06;	0.00;	0.13;	-0.06;	0.00
48;	8486;	8615;	129;	0.13;	-1.02;	9.44;	0.13;	-0.06;	0.06;	0.13;	-0.06;	0.06
49;	8615;	8743;	128;	0.18;	-0.98;	9.40;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
50;	8743;	8872;	129;	0.22;	-1.00;	9.46;	0.00;	0.00;	-0.19;	0.06;	0.06;	0.00
51;	8872;	9013;	141;	0.18;	-1.00;	9.39;	0.00;	0.06;	0.06;	-0.06;	-0.13;	-0.06
52;	9013;	9142;	129;	0.20;	-1.01;	9.43;	0.13;	0.06;	0.06;	-0.13;	0.06;	0.13
53;	9142;	9280;	138;	0.17;	-0.99;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
54;	9280;	9409;	129;	0.20;	-1.01;	9.45;	0.00;	-0.13;	0.06;	0.00;	-0.13;	0.06
55;	9409;	9537;	128;	0.18;	-1.02;	9.43;	0.19;	0.00;	0.06;	0.19;	0.00;	0.06
56;	9537;	9682;	145;	0.17;	-1.00;	9.46;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
57;	9682;	9812;	130;	0.20;	-0.99;	9.44;	0.13;	0.06;	0.06;	0.13;	0.06;	0.06
58;	9812;	9942;	130;	0.19;	-1.00;	9.44;	0.00;	0.13;	-0.19;	0.00;	0.13;	-0.19
59;	9942;	10072;	130;	0.19;	-1.00;	9.41;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
60;	10072;	10208;	136;	0.21;	-0.98;	9.41;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
61;	10208;	10337;	129;	0.19;	-0.98;	9.48;	0.00;	-0.19;	0.00;	0.06;	0.06;	0.00
62;	10337;	10467;	130;	0.19;	-1.03;	9.39;	0.13;	0.13;	-0.13;	0.06;	0.00;	-0.06
63;	10467;	10597;	130;	0.20;	-0.99;	9.42;	0.06;	0.06;	-0.13;	-0.06;	-0.25;	0.06
64;	10597;	10727;	130;	0.18;	-1.00;	9.42;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
