Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
0;	0;	1986;	1986;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
1;	1986;	2215;	229;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
2;	2215;	2343;	128;	0.21;	-0.97;	9.39;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
3;	2343;	2631;	288;	0.19;	-0.96;	9.41;	0.06;	0.06;	0.00;	0.06;	0.06;	0.00
4;	2631;	2762;	131;	0.22;	-0.98;	9.43;	-0.13;	-0.13;	0.00;	-0.13;	-0.13;	0.00
5;	2762;	2893;	131;	0.22;	-0.98;	9.44;	-0.06;	0.00;	0.00;	0.00;	0.19;	0.06
6;	2893;	3024;	131;	0.20;	-0.99;	9.43;	-0.06;	0.06;	0.06;	-0.13;	0.06;	0.06
7;	3024;	3162;	138;	0.23;	-1.01;	9.41;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
8;	3162;	3310;	148;	0.21;	-0.98;	9.43;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
9;	3310;	3438;	128;	0.21;	-0.97;	9.43;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
10;	3438;	3566;	128;	0.20;	-0.97;	9.41;	-0.06;	0.06;	0.00;	0.00;	0.13;	0.00
11;	3566;	3696;	130;	0.20;	-1.00;	9.45;	0.06;	0.06;	0.00;	0.00;	0.13;	0.00
12;	3696;	3826;	130;	0.19;	-1.00;	9.39;	-0.06;	0.13;	-0.13;	-0.06;	0.13;	-0.13
13;	3826;	3956;	130;	0.19;	-0.99;	9.45;	-0.06;	-0.13;	0.06;	-0.06;	-0.13;	0.06
14;	3956;	4093;	137;	0.21;	-0.98;	9.42;	-0.06;	0.25;	-0.13;	-0.06;	0.25;	-0.13
15;	4093;	4221;	128;	0.21;	-0.97;	9.44;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
16;	4221;	4349;	128;	0.22;	-1.01;	9.42;	0.00;	0.06;	0.13;	-0.13;	0.06;	0.06
17;	4349;	4479;	130;	0.21;	-0.98;	9.42;	0.00;	0.00;	-0.06;	-0.06;	0.00;	-0.13
18;	4479;	4620;	141;	0.21;	-0.97;	9.44;	0.00;	0.13;	0.06;	0.00;	0.13;	-0.19
19;	4620;	4750;	130;	0.20;	-0.98;	9.44;	0.00;	0.13;	0.00;	-0.06;	0.06;	-0.13
20;	4750;	4888;	138;	0.20;	-1.00;	9.43;	0.06;	-0.19;	0.00;	0.06;	-0.19;	0.00
21;	4888;	5018;	130;	0.20;	-0.96;	9.45;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
22;	5018;	5147;	129;	0.22;	-1.01;	9.43;	-0.13;	-0.06;	0.00;	-0.13;	-0.06;	0.00
23;	5147;	5275;	128;	0.21;	-0.97;	9.43;	0.00;	0.13;	0.06;	0.00;	0.13;	0.06
