Contador	Anterior	Actual	Intervalo	X_gyr	Y_gyr	Z_gyr
0;	0;	1985;	1985;	0.00;	0.00;	0.00
1;	1985;	2164;	179;	0.00;	0.00;	0.00
2;	2164;	2241;	77;	0.00;	0.00;	0.00
3;	2241;	2479;	238;	0.06;	-0.06;	0.00
4;	2479;	2559;	80;	0.06;	0.06;	0.06
5;	2559;	2639;	80;	0.06;	0.13;	-0.13
6;	2639;	2756;	117;	0.00;	0.06;	0.00
7;	2756;	2835;	79;	0.00;	0.06;	0.13
8;	2835;	2912;	77;	-0.06;	0.06;	0.00
9;	2912;	3008;	96;	0.00;	-0.06;	0.00
10;	3008;	3089;	81;	-0.06;	0.06;	0.00
11;	3089;	3170;	81;	0.00;	0.00;	-0.13
12;	3170;	3250;	80;	0.13;	0.00;	0.00
13;	3250;	3329;	79;	0.00;	0.00;	0.06
14;	3329;	3417;	88;	0.06;	0.13;	0.00
15;	3417;	3494;	77;	-0.06;	0.00;	-0.13
16;	3494;	3573;	79;	0.00;	0.19;	-0.13
17;	3573;	3652;	79;	-0.06;	0.00;	0.00
18;	3652;	3743;	91;	0.06;	0.00;	0.00
19;	3743;	3823;	80;	0.00;	0.06;	0.00
20;	3823;	3903;	80;	0.06;	0.00;	-0.06
21;	3903;	3982;	79;	0.06;	-0.13;	0.06
22;	3982;	4063;	81;	-0.06;	0.00;	0.06
23;	4063;	4143;	80;	-0.13;	0.13;	-0.06
24;	4143;	4223;	80;	-0.13;	0.00;	0.00
25;	4223;	4303;	80;	-0.06;	0.13;	0.06
26;	4303;	4398;	95;	-0.25;	0.19;	0.00
27;	4398;	4484;	86;	-0.06;	-0.06;	0.00
28;	4484;	4564;	80;	-0.06;	-0.13;	0.13
29;	4564;	4645;	81;	-0.06;	0.06;	0.06
30;	4645;	4725;	80;	0.00;	0.06;	0.06
31;	4725;	4805;	80;	-0.06;	0.06;	-0.06
32;	4805;	4883;	78;	-0.06;	-0.19;	0.19
33;	4883;	4962;	79;	0.00;	0.06;	0.13
34;	4962;	5039;	77;	0.00;	0.00;	0.00
35;	5039;	5118;	79;	-0.06;	-0.06;	0.00
36;	5118;	5209;	91;	0.00;	0.00;	-0.06
37;	5209;	5288;	79;	0.00;	-0.06;	-0.06
38;	5288;	5368;	80;	-0.06;	-0.06;	0.00
39;	5368;	5448;	80;	-0.06;	0.06;	0.00
40;	5448;	5536;	88;	0.00;	-0.25;	0.13
41;	5536;	5616;	80;	0.00;	-0.13;	-0.06
42;	5616;	5713;	97;	0.00;	0.06;	0.13
43;	5713;	5791;	78;	0.00;	0.06;	0.00
44;	5791;	5870;	79;	0.06;	0.06;	0.00
45;	5870;	5950;	80;	-0.13;	0.00;	-0.06
46;	5950;	6030;	80;	0.00;	-0.19;	0.13
47;	6030;	6110;	80;	0.06;	-0.13;	0.00
48;	6110;	6189;	79;	0.00;	-0.06;	0.00
49;	6189;	6270;	81;	0.06;	-0.19;	0.06
50;	6270;	6350;	80;	0.06;	0.00;	0.00
51;	6350;	6431;	81;	0.13;	-0.06;	0.13
52;	6431;	6511;	80;	-0.06;	0.06;	0.06
53;	6511;	6609;	98;	0.06;	-0.13;	0.13
54;	6609;	6687;	78;	0.06;	-0.13;	0.00
55;	6687;	6765;	78;	-0.06;	0.06;	0.00
56;	6765;	6844;	79;	0.00;	-0.06;	0.06
57;	6844;	6923;	79;	0.00;	-0.06;	-0.13
58;	6923;	7003;	80;	-0.06;	-0.06;	0.00
59;	7003;	7100;	97;	-0.13;	0.06;	-0.06
60;	7100;	7179;	79;	-0.06;	-0.06;	-0.06
61;	7179;	7257;	78;	0.00;	-0.13;	0.00
62;	7257;	7336;	79;	0.06;	-0.13;	0.06
63;	7336;	7415;	79;	-0.06;	0.06;	-0.19
64;	7415;	7494;	79;	-0.13;	0.06;	0.06
65;	7494;	7574;	80;	0.06;	-0.13;	0.06
66;	7574;	7663;	89;	0.00;	-0.06;	0.06
67;	7663;	7740;	77;	0.06;	0.13;	-0.06
68;	7740;	7818;	78;	-0.19;	0.00;	-0.06
69;	7818;	7897;	79;	-0.06;	-0.06;	-0.06
70;	7897;	7988;	91;	0.06;	0.13;	0.00
71;	7988;	8067;	79;	-0.13;	0.19;	-0.06
72;	8067;	8147;	80;	-0.06;	0.19;	0.00
73;	8147;	8227;	80;	0.06;	0.13;	0.06
74;	8227;	8307;	80;	0.00;	0.00;	-0.06
75;	8307;	8404;	97;	-0.06;	0.13;	-0.13
76;	8404;	8482;	78;	0.06;	0.13;	0.13
77;	8482;	8560;	78;	0.00;	0.06;	0.00
78;	8560;	8639;	79;	0.00;	0.13;	0.00
79;	8639;	8719;	80;	0.00;	0.06;	0.00
80;	8719;	8794;	75;	-0.06;	0.19;	-0.06
81;	8794;	8871;	77;	0.00;	0.06;	-0.13
82;	8871;	8950;	79;	0.13;	-0.31;	-0.06
83;	8950;	9030;	80;	0.00;	-0.06;	-0.06
84;	9030;	9110;	80;	0.00;	-0.06;	0.00
85;	9110;	9190;	80;	0.00;	0.00;	-0.13
86;	9190;	9270;	80;	0.00;	0.00;	0.00
87;	9270;	9349;	79;	0.00;	-0.19;	0.00
88;	9349;	9441;	92;	-0.25;	-0.19;	0.06
89;	9441;	9521;	80;	-0.62;	-0.31;	0.19
90;	9521;	9599;	78;	-1.62;	2.81;	1.56
91;	9599;	9679;	80;	-5.69;	14.31;	1.06
92;	9679;	9774;	95;	-17.19;	128.75;	-0.44
93;	9774;	9860;	86;	0.81;	220.81;	-9.63
94;	9860;	9940;	80;	-16.44;	183.25;	16.75
95;	9940;	10019;	79;	17.19;	197.31;	28.81
96;	10019;	10097;	78;	2.25;	206.38;	5.75
97;	10097;	10175;	78;	43.25;	190.31;	-15.75
98;	10175;	10253;	78;	63.81;	83.87;	1.94
99;	10253;	10333;	80;	-13.19;	30.88;	6.69
100;	10333;	10411;	78;	7.25;	-5.69;	3.25
101;	10411;	10489;	78;	16.50;	-64.50;	17.00
102;	10489;	10567;	78;	-8.06;	-108.87;	35.06
103;	10567;	10646;	79;	-20.25;	-137.50;	30.37
104;	10646;	10734;	88;	4.50;	-151.00;	29.94
105;	10734;	10823;	89;	-62.06;	-165.81;	12.44
106;	10823;	10901;	78;	-132.06;	-169.31;	-34.75
107;	10901;	10979;	78;	83.62;	-169.94;	-60.44
108;	10979;	11057;	78;	28.19;	-121.62;	-35.75
109;	11057;	11154;	97;	6.69;	-64.87;	-15.75
110;	11154;	11233;	79;	11.44;	-14.06;	1.81
111;	11233;	11310;	77;	7.50;	-18.62;	4.37
112;	11310;	11389;	79;	-0.94;	-19.25;	11.19
113;	11389;	11467;	78;	-3.19;	0.37;	6.00
114;	11467;	11548;	81;	4.00;	4.69;	-1.50
115;	11548;	11628;	80;	8.06;	-7.25;	3.94
116;	11628;	11714;	86;	13.06;	-5.31;	10.81
117;	11714;	11791;	77;	41.88;	-46.37;	1.06
118;	11791;	11869;	78;	-69.69;	-129.25;	-9.13
119;	11869;	11949;	80;	2.37;	-228.56;	-0.75
120;	11949;	12029;	80;	-25.37;	-148.25;	4.50
121;	12029;	12107;	78;	-31.19;	-106.44;	-29.63
122;	12107;	12186;	79;	-22.56;	-100.50;	-24.75
123;	12186;	12274;	88;	64.62;	-139.19;	8.19
124;	12274;	12352;	78;	100.44;	-131.63;	35.25
125;	12352;	12449;	97;	4.19;	-41.69;	-0.44
126;	12449;	12529;	80;	26.25;	10.38;	-0.75
127;	12529;	12615;	86;	18.62;	72.25;	-11.12
128;	12615;	12693;	78;	-9.38;	120.87;	-11.50
129;	12693;	12770;	77;	-101.44;	146.50;	-2.25
130;	12770;	12850;	80;	13.50;	199.56;	12.00
131;	12850;	12930;	80;	10.94;	183.31;	16.56
132;	12930;	13008;	78;	14.13;	135.37;	11.00
133;	13008;	13086;	78;	7.25;	98.19;	14.19
134;	13086;	13164;	78;	4.94;	88.06;	10.25
135;	13164;	13244;	80;	3.69;	-1.37;	-13.69
136;	13244;	13322;	78;	24.37;	37.06;	11.94
137;	13322;	13402;	80;	2.19;	2.50;	0.06
138;	13402;	13491;	89;	5.69;	5.06;	-6.75
139;	13491;	13569;	78;	3.81;	41.44;	-7.62
140;	13569;	13675;	106;	11.69;	99.87;	-1.50
141;	13675;	13755;	80;	-39.75;	267.87;	7.50
142;	13755;	13853;	98;	-86.25;	273.44;	-24.06
143;	13853;	13932;	79;	24.63;	224.62;	24.44
144;	13932;	14009;	77;	7.25;	179.94;	-8.13
145;	14009;	14088;	79;	-4.81;	114.19;	-0.44
146;	14088;	14165;	77;	37.38;	43.56;	10.94
147;	14165;	14245;	80;	33.44;	-26.87;	20.62
148;	14245;	14322;	77;	22.50;	-109.81;	43.63
149;	14322;	14399;	77;	7.19;	-187.50;	61.50
150;	14399;	14485;	86;	-42.13;	-222.19;	40.12
151;	14485;	14562;	77;	-151.87;	-218.37;	14.38
152;	14562;	14640;	78;	71.87;	-219.62;	-59.19
153;	14640;	14718;	78;	35.19;	-163.94;	-30.00
154;	14718;	14798;	80;	9.44;	-119.37;	0.81
155;	14798;	14876;	78;	3.94;	-3.50;	3.50
156;	14876;	14955;	79;	-0.06;	-11.25;	3.37
157;	14955;	15043;	88;	2.62;	-2.31;	-1.62
158;	15043;	15138;	95;	1.12;	-1.94;	4.06
159;	15138;	15215;	77;	-29.50;	-21.94;	-10.44
160;	15215;	15292;	77;	-2.56;	-50.63;	-21.06
161;	15292;	15409;	117;	74.62;	-114.81;	-26.31
162;	15409;	15490;	81;	-15.50;	-197.56;	-3.06
163;	15490;	15568;	78;	-15.88;	-200.69;	17.06
164;	15568;	15647;	79;	-25.06;	-159.56;	6.62
165;	15647;	15724;	77;	-13.06;	-158.63;	9.44
166;	15724;	15803;	79;	44.25;	-157.69;	15.63
167;	15803;	15881;	78;	-31.87;	-54.19;	0.62
168;	15881;	15962;	81;	-0.37;	10.19;	-1.31
169;	15962;	16042;	80;	-31.00;	50.81;	-5.94
170;	16042;	16120;	78;	0.56;	130.56;	-15.13
171;	16120;	16199;	79;	-62.00;	214.50;	-8.13
172;	16199;	16285;	86;	25.37;	246.94;	13.00
173;	16285;	16364;	79;	14.06;	211.87;	2.81
174;	16364;	16456;	92;	3.00;	137.19;	22.94
175;	16456;	16552;	96;	92.19;	28.06;	-6.75
176;	16552;	16629;	77;	-9.94;	6.81;	-1.62
177;	16629;	16706;	77;	-0.44;	-0.06;	-0.06
178;	16706;	16785;	79;	14.25;	4.12;	-3.56
179;	16785;	16865;	80;	17.87;	7.62;	5.56
180;	16865;	16945;	80;	59.00;	-7.56;	2.69
181;	16945;	17022;	77;	147.13;	-8.63;	-0.19
182;	17022;	17100;	78;	171.25;	-19.19;	-8.44
183;	17100;	17178;	78;	188.12;	-21.69;	-2.75
184;	17178;	17265;	87;	155.94;	11.00;	13.69
185;	17265;	17346;	81;	84.75;	12.37;	-16.25
186;	17346;	17424;	78;	96.75;	5.19;	-27.31
187;	17424;	17503;	79;	28.87;	1.87;	0.50
188;	17503;	17581;	78;	-14.44;	-10.19;	0.88
189;	17581;	17659;	78;	-100.81;	-0.56;	0.19
190;	17659;	17737;	78;	-200.00;	-10.06;	-0.69
191;	17737;	17846;	109;	-222.19;	2.25;	-6.25
192;	17846;	17924;	78;	-173.19;	18.00;	0.06
193;	17924;	18002;	78;	-207.94;	36.19;	-24.81
194;	18002;	18080;	78;	8.50;	-8.94;	5.06
195;	18080;	18168;	88;	6.00;	-4.00;	2.62
196;	18168;	18249;	81;	-1.31;	26.19;	-18.87
197;	18249;	18326;	77;	13.69;	-5.87;	-5.62
198;	18326;	18404;	78;	-22.69;	-25.56;	-10.81
199;	18404;	18482;	78;	-5.25;	-0.37;	-2.62
200;	18482;	18561;	79;	-20.25;	6.62;	20.44
201;	18561;	18639;	78;	-1.25;	36.38;	1.37
202;	18639;	18719;	80;	-30.19;	22.06;	-6.69
203;	18719;	18798;	79;	-87.37;	14.25;	-3.56
204;	18798;	18876;	78;	-163.31;	-15.00;	-33.88
205;	18876;	18954;	78;	-277.25;	-8.69;	-28.50
206;	18954;	19032;	78;	-357.75;	-1.06;	-29.19
207;	19032;	19120;	88;	-151.37;	-19.69;	2.06
208;	19120;	19228;	108;	-30.44;	-18.94;	3.75
209;	19228;	19306;	78;	-7.69;	1.44;	-1.94
210;	19306;	19384;	78;	-9.44;	18.25;	-14.81
211;	19384;	19464;	80;	98.56;	-19.87;	4.25
212;	19464;	19541;	77;	163.62;	-0.56;	18.62
213;	19541;	19620;	79;	277.87;	11.94;	-0.69
214;	19620;	19697;	77;	324.19;	-8.31;	34.69
215;	19697;	19776;	79;	246.62;	-31.31;	-1.06
216;	19776;	19855;	79;	8.88;	-39.69;	-17.37
217;	19855;	19933;	78;	-88.81;	-25.12;	-10.38
218;	19933;	20021;	88;	0.56;	-1.19;	1.56
219;	20021;	20098;	77;	-0.37;	0.56;	-0.06
220;	20098;	20177;	79;	-0.13;	0.25;	-0.13
221;	20177;	20257;	80;	-7.50;	3.81;	-4.31
222;	20257;	20335;	78;	68.37;	14.87;	8.00
223;	20335;	20416;	81;	164.88;	-21.56;	-8.75
224;	20416;	20510;	94;	322.50;	-23.87;	-5.62
225;	20510;	20588;	78;	315.87;	-26.94;	18.19
226;	20588;	20679;	91;	153.62;	9.13;	-2.75
227;	20679;	20758;	79;	35.38;	14.63;	0.37
228;	20758;	20835;	77;	17.31;	0.25;	-1.00
229;	20835;	20914;	79;	-59.50;	2.62;	-0.44
230;	20914;	21000;	86;	-146.94;	3.62;	1.94
231;	21000;	21079;	79;	-272.56;	8.25;	-1.81
232;	21079;	21159;	80;	-307.56;	35.81;	-26.31
233;	21159;	21237;	78;	-298.44;	39.38;	-38.50
234;	21237;	21316;	79;	19.94;	-29.81;	-6.44
235;	21316;	21394;	78;	-33.63;	-15.94;	-12.63
236;	21394;	21472;	78;	-9.00;	-15.94;	19.00
237;	21472;	21550;	78;	0.25;	-0.75;	8.19
238;	21550;	21631;	81;	0.37;	2.12;	4.62
239;	21631;	21711;	80;	8.38;	21.44;	-6.06
240;	21711;	21789;	78;	-3.81;	44.06;	1.00
241;	21789;	21893;	104;	-150.25;	36.81;	8.63
242;	21893;	21972;	79;	-342.06;	-2.62;	-17.69
243;	21972;	22061;	89;	-483.12;	-24.31;	-85.25
244;	22061;	22138;	77;	-186.06;	59.19;	-72.12
245;	22138;	22216;	78;	-221.37;	35.19;	-66.75
246;	22216;	22294;	78;	8.38;	9.44;	-12.00
247;	22294;	22374;	80;	69.37;	11.25;	-0.13
248;	22374;	22452;	78;	186.00;	-5.87;	6.37
249;	22452;	22533;	81;	491.00;	-52.44;	60.19
250;	22533;	22613;	80;	328.88;	46.88;	85.94
251;	22613;	22691;	78;	226.44;	13.69;	21.62
252;	22691;	22770;	79;	131.50;	51.19;	31.75
253;	22770;	22856;	86;	17.56;	-0.81;	10.75
254;	22856;	22935;	79;	-126.81;	-20.31;	-2.31
255;	22935;	23015;	80;	5.19;	1.56;	-0.13
256;	23015;	23093;	78;	0.13;	-0.06;	-3.56
257;	23093;	23191;	98;	-0.06;	-2.19;	0.44
258;	23191;	23269;	78;	-0.19;	-4.25;	2.87
259;	23269;	23347;	78;	0.19;	-2.06;	-0.31
260;	23347;	23438;	91;	-4.62;	-2.62;	-44.31
261;	23438;	23517;	79;	6.37;	2.87;	-158.75
262;	23517;	23594;	77;	-22.31;	-4.19;	-397.12
263;	23594;	23673;	79;	40.94;	8.88;	-355.62
264;	23673;	23759;	86;	27.19;	-20.19;	-210.63
265;	23759;	23838;	79;	2.94;	-3.19;	-15.88
266;	23838;	23918;	80;	-10.88;	-3.06;	64.12
267;	23918;	23995;	77;	-15.31;	2.37;	186.56
268;	23995;	24074;	79;	-33.81;	-3.69;	270.37
269;	24074;	24152;	78;	-8.25;	1.31;	221.94
270;	24152;	24230;	78;	0.06;	2.12;	208.87
271;	24230;	24308;	78;	-9.31;	-1.56;	68.94
272;	24308;	24389;	81;	1.00;	0.37;	23.56
273;	24389;	24469;	80;	1.75;	0.56;	53.50
274;	24469;	24564;	95;	-49.13;	-2.12;	219.56
275;	24564;	24642;	78;	-43.31;	-8.69;	336.44
276;	24642;	24729;	87;	-25.44;	-21.75;	333.00
277;	24729;	24818;	89;	-30.31;	-16.37;	300.56
278;	24818;	24895;	77;	-3.37;	6.81;	175.56
279;	24895;	24973;	78;	0.25;	-3.37;	36.00
280;	24973;	25050;	77;	-1.06;	-2.81;	-12.88
281;	25050;	25131;	81;	1.56;	-7.81;	-181.44
282;	25131;	25208;	77;	-1.06;	-3.25;	-286.62
283;	25208;	25285;	77;	3.62;	-14.31;	-343.12
284;	25285;	25363;	78;	-12.50;	-0.44;	-236.87
285;	25363;	25443;	80;	-9.31;	0.69;	-136.62
286;	25443;	25523;	80;	3.44;	1.12;	-5.31
287;	25523;	25609;	86;	1.87;	0.31;	1.62
288;	25609;	25686;	77;	-2.12;	0.06;	-3.75
289;	25686;	25765;	79;	6.06;	-2.00;	-61.63
290;	25765;	25863;	98;	-5.25;	-10.56;	-180.56
291;	25863;	25944;	81;	5.00;	-2.94;	-250.06
292;	25944;	26024;	80;	-8.63;	1.12;	-297.25
293;	26024;	26102;	78;	-1.25;	7.50;	-286.31
294;	26102;	26181;	79;	-1.12;	-17.81;	-317.31
295;	26181;	26271;	90;	-1.50;	-2.50;	-245.69
296;	26271;	26349;	78;	-4.19;	3.62;	-217.69
297;	26349;	26427;	78;	-7.06;	-5.44;	-71.44
298;	26427;	26526;	99;	0.19;	0.13;	12.37
299;	26526;	26604;	78;	0.19;	0.00;	0.94
300;	26604;	26683;	79;	0.25;	0.19;	0.56
301;	26683;	26761;	78;	0.25;	0.13;	0.37
302;	26761;	26839;	78;	0.62;	0.31;	1.75
303;	26839;	26917;	78;	-8.88;	-2.12;	-59.19
304;	26917;	26998;	81;	3.19;	2.50;	-187.62
305;	26998;	27078;	80;	6.87;	-2.94;	-352.56
306;	27078;	27156;	78;	-4.69;	-3.44;	-372.69
307;	27156;	27254;	98;	16.12;	-3.75;	-301.50
308;	27254;	27332;	78;	11.19;	-3.75;	-316.69
309;	27332;	27410;	78;	-9.75;	-1.87;	-226.94
310;	27410;	27498;	88;	-0.06;	-0.13;	0.19
311;	27498;	27579;	81;	-0.31;	-0.06;	0.19
312;	27579;	27685;	106;	0.06;	0.00;	0.06
313;	27685;	27763;	78;	0.19;	0.31;	0.06
