------------------------------------------------------------------------------
------------ AVIÓNICA COHETE SONDA ORIÓN UIS - Almacenamiento ----------------
Test: Cálculo altura - MS5611  |  Identificador: 02  |  Etapa de sensado
Autores: Juan Martin Vivas Camargo  |  Santiago Hernández Rincón
------------------------------------------------------------------------------
Contador -> Contador identificador.
Anterior -> Tiempo de muestra anterior.
Actual -> Tiempo de muestra actual.
Intervalo -> Intervalo - diferencia entre muestras.
Temperatura -> Lectura de Temperatura.
Presión -> Lectura de Presión.
Altura -> Lectura de Altura.
------------------------------------------------------------------------------------------------------
Contador________Anterior________Actual__________Intervalo_______Temperatura_____Presión_________Altura
------------------------------------------------------------------------------------------------------
0;		0;		6703;		6703;		19.64;		757.43;		-0.93
1;		6703;		6822;		119;		19.60;		757.25;		1.07
2;		6822;		6860;		38;		19.62;		757.39;		-0.49
3;		6860;		7058;		198;		19.59;		757.33;		0.18
4;		7058;		7113;		55;		19.59;		757.33;		0.18
5;		7113;		7151;		38;		19.59;		757.33;		0.18
6;		7151;		7189;		38;		19.59;		757.33;		0.18
7;		7189;		7227;		38;		19.59;		757.33;		0.18
8;		7227;		7265;		38;		19.59;		757.33;		0.18
9;		7265;		7303;		38;		19.60;		757.36;		-0.15
10;		7303;		7341;		38;		19.59;		757.44;		-1.04
11;		7341;		7379;		38;		19.59;		757.44;		-1.04
12;		7379;		7413;		34;		19.59;		757.33;		0.18
13;		7413;		7451;		38;		19.59;		757.33;		0.18
14;		7451;		7489;		38;		19.60;		757.47;		-1.38
15;		7489;		7527;		38;		19.59;		757.33;		0.18
16;		7527;		7565;		38;		19.59;		757.33;		0.18
17;		7565;		7603;		38;		19.59;		757.33;		0.18
18;		7603;		7641;		38;		19.59;		757.44;		-1.04
19;		7641;		7691;		50;		19.59;		757.33;		0.18
20;		7691;		7729;		38;		19.59;		757.33;		0.18
21;		7729;		7785;		56;		19.59;		757.33;		0.18
22;		7785;		7831;		46;		19.59;		757.33;		0.18
23;		7831;		7869;		38;		19.59;		757.44;		-1.04
24;		7869;		7907;		38;		19.59;		757.33;		0.18
25;		7907;		7945;		38;		19.59;		757.33;		0.18
26;		7945;		7983;		38;		19.59;		757.33;		0.18
27;		7983;		8021;		38;		19.59;		757.44;		-1.04
28;		8021;		8059;		38;		19.59;		757.33;		0.18
29;		8059;		8097;		38;		19.59;		757.33;		0.18
30;		8097;		8135;		38;		19.59;		757.33;		0.18
31;		8135;		8173;		38;		19.59;		757.33;		0.18
32;		8173;		8211;		38;		19.59;		757.33;		0.18
33;		8211;		8257;		46;		19.59;		757.33;		0.18
34;		8257;		8295;		38;		19.59;		757.33;		0.18
35;		8295;		8333;		38;		19.59;		757.33;		0.18
36;		8333;		8383;		50;		19.59;		757.44;		-1.04
37;		8383;		8421;		38;		19.59;		757.33;		0.18
38;		8421;		8476;		55;		19.59;		757.44;		-1.04
39;		8476;		8514;		38;		19.59;		757.44;		-1.04
40;		8514;		8552;		38;		19.59;		757.33;		0.18
41;		8552;		8590;		38;		19.59;		757.44;		-1.04
42;		8590;		8628;		38;		19.59;		757.33;		0.18
43;		8628;		8666;		38;		19.59;		757.33;		0.18
44;		8666;		8712;		46;		19.59;		757.44;		-1.04
45;		8712;		8750;		38;		19.59;		757.33;		0.18
46;		8750;		8788;		38;		19.59;		757.33;		0.18
47;		8788;		8826;		38;		19.59;		757.33;		0.18
48;		8826;		8864;		38;		19.59;		757.33;		0.18
49;		8864;		8902;		38;		19.59;		757.33;		0.18
50;		8902;		8940;		38;		19.59;		757.33;		0.18
51;		8940;		8978;		38;		19.59;		757.44;		-1.04
