0;	0;	6706;	6706;	21.01;	755.68;	0.68
1;	6706;	6843;	137;	21.00;	755.76;	-0.22
2;	6843;	6881;	38;	21.00;	755.76;	-0.22
3;	6881;	7077;	196;	20.98;	755.84;	-1.11
4;	7077;	7115;	38;	20.98;	755.73;	0.12
5;	7115;	7153;	38;	20.98;	755.62;	1.35
6;	7153;	7191;	38;	20.98;	755.62;	1.35
7;	7191;	7229;	38;	20.98;	755.84;	-1.11
8;	7229;	7267;	38;	20.98;	755.73;	0.12
9;	7267;	7305;	38;	20.98;	755.84;	-1.11
10;	7305;	7343;	38;	20.98;	755.73;	0.12
11;	7343;	7381;	38;	20.98;	755.62;	1.35
12;	7381;	7419;	38;	20.98;	755.73;	0.12
13;	7419;	7465;	46;	20.96;	755.81;	-0.78
14;	7465;	7519;	54;	20.98;	755.84;	-1.11
15;	7519;	7557;	38;	20.98;	755.73;	0.12
16;	7557;	7595;	38;	20.98;	755.84;	-1.11
17;	7595;	7633;	38;	20.98;	755.84;	-1.11
18;	7633;	7683;	50;	20.98;	755.62;	1.35
19;	7683;	7721;	38;	20.96;	755.70;	0.45
20;	7721;	7759;	38;	20.96;	755.70;	0.45
21;	7759;	7797;	38;	20.98;	755.73;	0.12
22;	7797;	7835;	38;	20.96;	755.70;	0.45
23;	7835;	7873;	38;	20.96;	755.70;	0.45
24;	7873;	7911;	38;	20.96;	755.70;	0.45
25;	7911;	7957;	46;	20.96;	755.70;	0.45
26;	7957;	7995;	38;	20.96;	755.70;	0.45
27;	7995;	8033;	38;	20.98;	755.62;	1.35
28;	8033;	8071;	38;	20.96;	755.70;	0.45
29;	8071;	8109;	38;	20.96;	755.70;	0.45
30;	8109;	8165;	56;	20.96;	755.81;	-0.78
31;	8165;	8203;	38;	20.96;	755.70;	0.45
32;	8203;	8241;	38;	20.96;	755.70;	0.45
33;	8241;	8279;	38;	20.96;	755.81;	-0.78
34;	8279;	8317;	38;	20.96;	755.70;	0.45
35;	8317;	8355;	38;	20.96;	755.70;	0.45
36;	8355;	8403;	48;	20.96;	755.81;	-0.78
37;	8403;	8441;	38;	20.96;	755.81;	-0.78
38;	8441;	8487;	46;	20.96;	755.70;	0.45
39;	8487;	8525;	38;	20.96;	755.81;	-0.78
40;	8525;	8563;	38;	20.96;	755.81;	-0.78
41;	8563;	8601;	38;	20.96;	755.70;	0.45
42;	8601;	8639;	38;	20.98;	755.84;	-1.11
43;	8639;	8677;	38;	20.96;	755.70;	0.45
44;	8677;	8715;	38;	20.96;	755.81;	-0.78
45;	8715;	8753;	38;	20.96;	755.70;	0.45
46;	8753;	8791;	38;	20.96;	755.70;	0.45
47;	8791;	8847;	56;	20.96;	755.70;	0.45
48;	8847;	8885;	38;	20.96;	755.70;	0.45
49;	8885;	8923;	38;	20.96;	755.70;	0.45
50;	8923;	8969;	46;	20.96;	755.70;	0.45
51;	8969;	9007;	38;	20.96;	755.81;	-0.78
52;	9007;	9045;	38;	20.96;	755.70;	0.45
53;	9045;	9093;	48;	20.96;	755.70;	0.45
54;	9093;	9131;	38;	20.96;	755.70;	0.45
55;	9131;	9169;	38;	20.96;	755.70;	0.45
56;	9169;	9207;	38;	20.96;	755.70;	0.45
57;	9207;	9245;	38;	20.98;	755.84;	-1.11
58;	9245;	9283;	38;	20.96;	755.81;	-0.78
59;	9283;	9321;	38;	20.96;	755.59;	1.68
60;	9321;	9359;	38;	20.96;	755.70;	0.45
61;	9359;	9397;	38;	20.96;	755.70;	0.45
62;	9397;	9435;	38;	20.96;	755.70;	0.45
63;	9435;	9499;	64;	20.96;	755.70;	0.45
64;	9499;	9537;	38;	20.96;	755.70;	0.45
65;	9537;	9575;	38;	20.96;	755.70;	0.45
66;	9575;	9613;	38;	20.96;	755.81;	-0.78
67;	9613;	9651;	38;	20.96;	755.81;	-0.78
68;	9651;	9689;	38;	20.96;	755.70;	0.45
69;	9689;	9727;	38;	20.96;	755.70;	0.45
70;	9727;	9777;	50;	20.96;	755.70;	0.45
71;	9777;	9815;	38;	20.96;	755.70;	0.45
72;	9815;	9853;	38;	20.96;	755.81;	-0.78
73;	9853;	9891;	38;	20.96;	755.70;	0.45
74;	9891;	9929;	38;	20.96;	755.81;	-0.78
75;	9929;	9975;	46;	20.96;	755.70;	0.45
76;	9975;	10013;	38;	20.95;	755.78;	-0.44
77;	10013;	10051;	38;	20.95;	755.66;	0.90
78;	10051;	10089;	38;	20.96;	755.70;	0.45
79;	10089;	10127;	38;	20.95;	755.66;	0.90
80;	10127;	10183;	56;	20.95;	755.78;	-0.44
81;	10183;	10221;	38;	20.95;	755.66;	0.90
82;	10221;	10259;	38;	20.96;	755.81;	-0.78
83;	10259;	10297;	38;	20.95;	755.78;	-0.44
84;	10297;	10335;	38;	20.95;	755.78;	-0.44
85;	10335;	10373;	38;	20.95;	755.66;	0.90
86;	10373;	10411;	38;	20.95;	755.66;	0.90
87;	10411;	10469;	58;	20.96;	755.70;	0.45
88;	10469;	10507;	38;	20.95;	755.66;	0.90
89;	10507;	10545;	38;	20.96;	755.70;	0.45
90;	10545;	10583;	38;	20.95;	755.66;	0.90
91;	10583;	10621;	38;	20.95;	755.78;	-0.44
92;	10621;	10659;	38;	20.95;	755.78;	-0.44
93;	10659;	10697;	38;	20.95;	755.66;	0.90
94;	10697;	10735;	38;	20.95;	755.78;	-0.44
95;	10735;	10773;	38;	20.95;	755.66;	0.90
96;	10773;	10829;	56;	20.95;	755.66;	0.90
97;	10829;	10867;	38;	20.95;	755.66;	0.90
98;	10867;	10905;	38;	20.95;	755.78;	-0.44
99;	10905;	10951;	46;	20.95;	755.78;	-0.44
100;	10951;	10989;	38;	20.95;	755.78;	-0.44
101;	10989;	11027;	38;	20.95;	755.78;	-0.44
102;	11027;	11065;	38;	20.95;	755.78;	-0.44
103;	11065;	11103;	38;	20.95;	755.78;	-0.44
104;	11103;	11141;	38;	20.95;	755.78;	-0.44
105;	11141;	11191;	50;	20.95;	755.78;	-0.44
106;	11191;	11229;	38;	20.95;	755.66;	0.90
107;	11229;	11267;	38;	20.95;	755.78;	-0.44
108;	11267;	11305;	38;	20.95;	755.66;	0.90
109;	11305;	11343;	38;	20.95;	755.78;	-0.44
110;	11343;	11389;	46;	20.95;	755.66;	0.90
111;	11389;	11427;	38;	20.95;	755.66;	0.90
112;	11427;	11465;	38;	20.95;	755.78;	-0.44
113;	11465;	11521;	56;	20.95;	755.78;	-0.44
114;	11521;	11559;	38;	20.95;	755.66;	0.90
115;	11559;	11597;	38;	20.95;	755.78;	-0.44
116;	11597;	11635;	38;	20.95;	755.66;	0.90
117;	11635;	11673;	38;	20.95;	755.78;	-0.44
118;	11673;	11711;	38;	20.95;	755.78;	-0.44
119;	11711;	11749;	38;	20.95;	755.78;	-0.44
120;	11749;	11787;	38;	20.95;	755.66;	0.90
121;	11787;	11825;	38;	20.95;	755.66;	0.90
122;	11825;	11883;	58;	20.95;	755.66;	0.90
123;	11883;	11921;	38;	20.95;	755.78;	-0.44
124;	11921;	11959;	38;	20.95;	755.78;	-0.44
125;	11959;	11997;	38;	20.95;	755.78;	-0.44
126;	11997;	12035;	38;	20.95;	755.78;	-0.44
127;	12035;	12073;	38;	20.95;	755.78;	-0.44
128;	12073;	12111;	38;	20.95;	755.66;	0.90
129;	12111;	12167;	56;	20.96;	755.81;	-0.78
130;	12167;	12205;	38;	20.95;	755.66;	0.90
131;	12205;	12243;	38;	20.96;	755.70;	0.45
132;	12243;	12281;	38;	20.95;	755.66;	0.90
133;	12281;	12327;	46;	20.95;	755.66;	0.90
134;	12327;	12365;	38;	20.96;	755.81;	-0.78
135;	12365;	12403;	38;	20.95;	755.78;	-0.44
136;	12403;	12441;	38;	20.95;	755.78;	-0.44
137;	12441;	12479;	38;	20.96;	755.81;	-0.78
138;	12479;	12517;	38;	20.95;	755.66;	0.90
139;	12517;	12581;	64;	20.95;	755.66;	0.90
140;	12581;	12619;	38;	20.95;	755.78;	-0.44
141;	12619;	12657;	38;	20.95;	755.78;	-0.44
142;	12657;	12695;	38;	20.95;	755.66;	0.90
143;	12695;	12733;	38;	20.95;	755.78;	-0.44
144;	12733;	12771;	38;	20.95;	755.78;	-0.44
145;	12771;	12817;	46;	20.95;	755.66;	0.90
146;	12817;	12871;	54;	20.95;	755.66;	0.90
147;	12871;	12909;	38;	20.95;	755.78;	-0.44
148;	12909;	12947;	38;	20.96;	755.70;	0.45
149;	12947;	12985;	38;	20.95;	755.78;	-0.44
150;	12985;	13023;	38;	20.96;	755.81;	-0.78
151;	13023;	13061;	38;	20.95;	755.78;	-0.44
152;	13061;	13099;	38;	20.95;	755.78;	-0.44
153;	13099;	13137;	38;	20.95;	755.66;	0.90
154;	13137;	13175;	38;	20.95;	755.66;	0.90
155;	13175;	13213;	38;	20.96;	755.70;	0.45
156;	13213;	13302;	89;	20.95;	755.78;	-0.44
157;	13302;	13340;	38;	20.95;	755.66;	0.90
158;	13340;	13378;	38;	20.96;	755.92;	-2.00
159;	13378;	13416;	38;	20.95;	755.78;	-0.44
160;	13416;	13454;	38;	20.95;	755.78;	-0.44
161;	13454;	13492;	38;	20.95;	755.66;	0.90
162;	13492;	13548;	56;	20.95;	755.78;	-0.44
163;	13548;	13586;	38;	20.95;	755.78;	-0.44
164;	13586;	13624;	38;	20.95;	755.78;	-0.44
165;	13624;	13662;	38;	20.96;	755.81;	-0.78
166;	13662;	13700;	38;	20.95;	755.66;	0.90
167;	13700;	13738;	38;	20.95;	755.78;	-0.44
168;	13738;	13784;	46;	20.96;	755.81;	-0.78
169;	13784;	13822;	38;	20.95;	755.78;	-0.44
170;	13822;	13860;	38;	20.95;	755.78;	-0.44
171;	13860;	13898;	38;	20.95;	755.78;	-0.44
172;	13898;	13936;	38;	20.95;	755.66;	0.90
173;	13936;	13974;	38;	20.95;	755.66;	0.90
174;	13974;	14023;	49;	20.95;	755.78;	-0.44
175;	14023;	14061;	38;	20.95;	755.66;	0.90
176;	14061;	14099;	38;	20.95;	755.78;	-0.44
177;	14099;	14137;	38;	20.96;	755.81;	-0.78
178;	14137;	14175;	38;	20.95;	755.78;	-0.44
179;	14175;	14239;	64;	20.95;	755.78;	-0.44
180;	14239;	14277;	38;	20.95;	755.66;	0.90
181;	14277;	14315;	38;	20.95;	755.78;	-0.44
182;	14315;	14353;	38;	20.96;	755.70;	0.45
183;	14353;	14391;	38;	20.96;	755.81;	-0.78
184;	14391;	14429;	38;	20.95;	755.78;	-0.44
185;	14429;	14467;	38;	20.95;	755.66;	0.90
186;	14467;	14505;	38;	20.96;	755.81;	-0.78
187;	14505;	14543;	38;	20.95;	755.78;	-0.44
188;	14543;	14581;	38;	20.96;	755.81;	-0.78
189;	14581;	14619;	38;	20.96;	755.81;	-0.78
190;	14619;	14657;	38;	20.96;	755.70;	0.45
191;	14657;	14714;	57;	20.95;	755.78;	-0.44
192;	14714;	14752;	38;	20.96;	755.70;	0.45
193;	14752;	14790;	38;	20.95;	755.66;	0.90
194;	14790;	14828;	38;	20.95;	755.78;	-0.44
195;	14828;	14882;	54;	20.95;	755.78;	-0.44
196;	14882;	14920;	38;	20.96;	755.70;	0.45
197;	14920;	14958;	38;	20.96;	755.70;	0.45
198;	14958;	14996;	38;	20.95;	755.66;	0.90
199;	14996;	15034;	38;	20.96;	755.70;	0.45
200;	15034;	15072;	38;	20.95;	755.66;	0.90
201;	15072;	15110;	38;	20.96;	755.81;	-0.78
202;	15110;	15156;	46;	20.96;	755.81;	-0.78
203;	15156;	15194;	38;	20.96;	755.70;	0.45
204;	15194;	15232;	38;	20.95;	755.78;	-0.44
205;	15232;	15270;	38;	20.95;	755.78;	-0.44
206;	15270;	15308;	38;	20.96;	755.81;	-0.78
207;	15308;	15346;	38;	20.96;	755.81;	-0.78
208;	15346;	15396;	50;	20.96;	755.70;	0.45
209;	15396;	15434;	38;	20.96;	755.70;	0.45
210;	15434;	15472;	38;	20.96;	755.70;	0.45
211;	15472;	15510;	38;	20.96;	755.70;	0.45
212;	15510;	15566;	56;	20.96;	755.70;	0.45
213;	15566;	15604;	38;	20.96;	755.81;	-0.78
214;	15604;	15650;	46;	20.96;	755.70;	0.45
215;	15650;	15688;	38;	20.96;	755.70;	0.45
216;	15688;	15726;	38;	20.98;	755.84;	-1.11
217;	15726;	15764;	38;	20.96;	755.70;	0.45
218;	15764;	15802;	38;	20.96;	755.70;	0.45
219;	15802;	15840;	38;	20.96;	755.70;	0.45
220;	15840;	15878;	38;	20.96;	755.81;	-0.78
221;	15878;	15916;	38;	20.96;	755.81;	-0.78
222;	15916;	15954;	38;	20.98;	755.73;	0.12
223;	15954;	15992;	38;	20.96;	755.81;	-0.78
224;	15992;	16030;	38;	20.98;	755.84;	-1.11
225;	16030;	16087;	57;	20.96;	755.70;	0.45
226;	16087;	16125;	38;	20.98;	755.73;	0.12
227;	16125;	16163;	38;	20.98;	755.73;	0.12
228;	16163;	16218;	55;	20.98;	755.73;	0.12
229;	16218;	16256;	38;	20.98;	755.73;	0.12
230;	16256;	16294;	38;	20.98;	755.73;	0.12
231;	16294;	16332;	38;	20.98;	755.73;	0.12
232;	16332;	16370;	38;	20.98;	755.73;	0.12
233;	16370;	16408;	38;	20.98;	755.73;	0.12
234;	16408;	16446;	38;	20.98;	755.84;	-1.11
235;	16446;	16484;	38;	20.98;	755.73;	0.12
236;	16484;	16522;	38;	20.98;	755.73;	0.12
237;	16522;	16568;	46;	20.98;	755.62;	1.35
238;	16568;	16606;	38;	20.98;	755.84;	-1.11
239;	16606;	16644;	38;	20.98;	755.84;	-1.11
240;	16644;	16682;	38;	20.98;	755.84;	-1.11
241;	16682;	16720;	38;	20.98;	755.84;	-1.11
242;	16720;	16758;	38;	20.98;	755.84;	-1.11
243;	16758;	16808;	50;	20.98;	755.73;	0.12
244;	16808;	16846;	38;	20.98;	755.73;	0.12
